"","year","length","rating","genre"
"22415",1917,56,5.9,"Misc"
"22416",1958,73,4.3,"Drama"
"22417",1942,65,6.1,"Misc"
"22418",1953,100,7.3,"Drama"
"22419",1938,83,5.1,"Action"
"22420",2002,57,7.7,"Documentary"
"22421",1984,91,6.3,"Drama"
"22422",2004,92,6.9,"Drama"
"22423",1998,94,4.9,"Drama"
"22424",1936,63,7.4,"Misc"
"22425",2000,6,8.5,"Short"
"22426",1949,21,4.9,"Documentary"
"22427",1999,90,4,"Comedy"
"22428",1947,71,7.5,"Drama"
"22429",1981,92,5.4,"Comedy"
"22430",1946,102,6.1,"Drama"
"22431",1981,79,4.2,"Comedy"
"22432",2002,91,5,"Comedy"
"22433",1988,97,5.3,"Comedy"
"22434",1972,106,6.5,"Comedy"
"22435",1986,130,6.2,"Action"
"22436",1983,90,4.1,"Drama"
"22437",1984,98,6.1,"Drama"
"22438",2001,110,6.2,"Comedy"
"22439",1983,114,7.1,"Drama"
"22440",1986,108,5.6,"Comedy"
"22441",1980,96,7,"Drama"
"22442",1980,90,7,"Documentary"
"22443",2002,90,6.2,"Comedy"
"22444",1936,87,5.8,"Drama"
"22445",1919,23,5.8,"Comedy"
"22446",1974,112,8.5,"Documentary"
"22447",1996,113,8,"Misc"
"22448",2001,101,6.7,"Drama"
"22449",1936,72,5.5,"Drama"
"22450",1934,8,5.2,"Short"
"22451",1991,96,8.2,"Documentary"
"22452",1987,95,3.3,"Drama"
"22453",1975,102,6.3,"Comedy"
"22454",1918,117,7.2,"Drama"
"22455",1995,20,6.6,"Documentary"
"22456",2002,14,7,"Comedy"
"22457",1981,92,6.5,"Documentary"
"22458",1972,102,6,"Comedy"
"22459",1986,101,5,"Action"
"22460",1995,188,7.9,"Action"
"22461",1996,50,6,"Action"
"22462",1934,63,6.5,"Drama"
"22463",1935,72,5.3,"Comedy"
"22464",1983,133,6.2,"Drama"
"22465",1987,98,5.1,"Drama"
"22466",1966,82,3.2,"Misc"
"22467",1943,80,4.4,"Comedy"
"22468",1999,85,6,"Drama"
"22469",1986,73,2.8,"Animation"
"22470",1989,102,7.4,"Comedy"
"22471",2002,28,6,"Comedy"
"22472",1995,91,3.9,"Action"
"22473",1982,88,4.3,"Misc"
"22474",1982,91,5.5,"Drama"
"22475",1974,72,4.7,"Misc"
"22476",1987,80,6.3,"Documentary"
"22477",1998,105,6.8,"Misc"
"22478",2002,96,7.3,"Drama"
"22479",1993,140,6.4,"Action"
"22480",1997,95,2.8,"Comedy"
"22481",1943,112,7.5,"Comedy"
"22482",1978,101,6.8,"Comedy"
"22483",1985,104,6.5,"Comedy"
"22484",1957,108,7.4,"Drama"
"22485",1947,100,6.1,"Misc"
"22486",1956,7,7.4,"Animation"
"22487",1999,37,5.9,"Short"
"22488",1990,95,2.7,"Drama"
"22489",1962,66,7.3,"Animation"
"22490",1939,61,6.1,"Drama"
"22491",1969,101,5.5,"Misc"
"22492",1997,100,5.5,"Misc"
"22493",1980,219,6.2,"Drama"
"22494",2001,115,4.9,"Misc"
"22495",1996,132,5.4,"Misc"
"22496",1994,93,4.3,"Drama"
"22497",1984,90,3.9,"Drama"
"22498",1963,62,1,"Comedy"
"22499",1943,95,6,"Comedy"
"22500",1994,108,7.7,"Drama"
"22501",1944,71,6.7,"Comedy"
"22502",1948,16,7.7,"Comedy"
"22503",1979,90,6.2,"Misc"
"22504",1985,90,4.9,"Comedy"
"22505",1943,22,6.9,"Short"
"22506",1985,92,6.8,"Drama"
"22507",1949,8,8.4,"Animation"
"22508",1963,105,6.6,"Comedy"
"22509",1995,105,7.1,"Drama"
"22510",1981,90,6.2,"Action"
"22511",2000,88,5.1,"Action"
"22512",2002,95,7,"Comedy"
"22513",1986,15,8,"Short"
"22514",1989,78,5.3,"Documentary"
"22515",1973,79,6,"Animation"
"22516",1995,100,5.3,"Comedy"
"22517",1975,100,5.3,"Comedy"
"22518",2003,108,7.2,"Comedy"
"22519",1998,85,6.1,"Misc"
"22520",2003,87,6.3,"Comedy"
"22521",1941,7,7.7,"Animation"
"22522",1987,90,6.6,"Comedy"
"22523",1986,58,6.7,"Comedy"
"22524",1992,123,6.9,"Drama"
"22525",1975,102,6.6,"Drama"
"22526",2004,88,8.2,"Drama"
"22527",1942,9,7.3,"Documentary"
"22528",2001,93,7.7,"Comedy"
"22529",2001,89,7.1,"Documentary"
"22530",1993,91,5.3,"Misc"
"22531",1995,103,7.3,"Drama"
"22532",1999,89,7.5,"Comedy"
"22533",1972,94,2.5,"Misc"
"22534",1999,95,5.3,"Drama"
"22535",1991,91,5.6,"Action"
"22536",1994,97,7.2,"Drama"
"22537",1988,100,5.5,"Misc"
"22538",1992,91,4.1,"Action"
"22539",1995,91,6.3,"Drama"
"22540",1998,100,4.3,"Misc"
"22541",1954,83,6.2,"Comedy"
"22542",1999,104,6.3,"Drama"
"22543",1951,97,4.5,"Romance"
"22544",1967,94,7.8,"Misc"
"22545",1954,96,4.2,"Comedy"
"22546",1937,88,7.2,"Drama"
"22547",1952,97,6,"Drama"
"22548",1965,95,5.7,"Drama"
"22549",2001,135,5.9,"Misc"
"22550",2001,95,6.9,"Drama"
"22551",1955,95,5.8,"Drama"
"22552",1982,94,3.7,"Animation"
"22553",1999,116,5.6,"Drama"
"22554",2005,93,4,"Drama"
"22555",1926,106,4.9,"Drama"
"22556",1986,140,5,"Misc"
"22557",1938,98,5.7,"Drama"
"22558",2000,101,7.9,"Documentary"
"22559",1963,102,5.4,"Drama"
"22560",1934,82,4.9,"Comedy"
"22561",1953,6,6.9,"Animation"
"22562",2004,99,7.2,"Documentary"
"22563",1955,7,6.4,"Animation"
"22564",1949,115,7.9,"Drama"
"22565",1994,119,7.8,"Animation"
"22566",1964,102,4.2,"Misc"
"22567",1998,95,3.8,"Misc"
"22568",1999,81,4.4,"Action"
"22569",1965,103,6.5,"Comedy"
"22570",1965,104,6.1,"Misc"
"22571",1934,99,7.5,"Comedy"
"22572",1979,82,3,"Comedy"
"22573",2003,48,8.3,"Misc"
"22574",1999,89,4.6,"Comedy"
"22575",2000,91,4.5,"Misc"
"22576",1958,96,6,"Comedy"
"22577",1998,108,5.6,"Comedy"
"22578",1998,96,2.8,"Action"
"22579",1999,93,6.8,"Comedy"
"22580",1946,70,6.3,"Misc"
"22581",1957,118,5.6,"Drama"
"22582",1956,118,5.9,"Action"
"22583",1924,85,8.9,"Comedy"
"22584",1924,204,9,"Drama"
"22585",1967,77,4.5,"Documentary"
"22586",2000,12,4.6,"Documentary"
"22587",2000,21,6.8,"Animation"
"22588",1994,90,5.8,"Comedy"
"22589",2005,97,2.3,"Action"
"22590",1933,101,6.5,"Drama"
"22591",1954,90,5.3,"Action"
"22592",1994,83,4.1,"Drama"
"22593",1960,82,5.7,"Misc"
"22594",1970,95,4.5,"Drama"
"22595",1957,69,6.7,"Drama"
"22596",1987,86,4.4,"Action"
"22597",1931,109,6.1,"Drama"
"22598",1957,91,6.6,"Drama"
"22599",1930,83,6.2,"Drama"
"22600",1989,84,3.7,"Misc"
"22601",1978,82,2.4,"Action"
"22602",2001,85,7.1,"Documentary"
"22603",1960,88,6.3,"Drama"
"22604",1962,90,7.2,"Drama"
"22605",1998,94,3.7,"Action"
"22606",1981,101,4.7,"Misc"
"22607",1967,97,5.4,"Action"
"22608",1957,66,4.4,"Misc"
"22609",1958,64,4.5,"Drama"
"22610",1985,87,2.7,"Action"
"22611",1973,94,5.4,"Misc"
"22612",1954,99,6.3,"Drama"
"22613",1998,28,6.9,"Comedy"
"22614",1934,79,5.9,"Drama"
"22615",1968,103,7.3,"Drama"
"22616",1955,98,6.1,"Drama"
"22617",1990,86,3.6,"Misc"
"22618",1960,131,6.8,"Drama"
"22619",1968,95,5.9,"Drama"
"22620",1930,127,7.6,"Drama"
"22621",1969,97,4.1,"Action"
"22622",1983,93,4.6,"Documentary"
"22623",1970,95,5,"Action"
"22624",1970,92,2.8,"Action"
"22625",1968,92,2.4,"Action"
"22626",1957,73,6.3,"Misc"
"22627",1958,73,7.5,"Misc"
"22628",1954,88,6.5,"Action"
"22629",1930,68,7.3,"Drama"
"22630",1932,62,6.7,"Drama"
"22631",1916,64,7.1,"Misc"
"22632",1932,72,5.6,"Drama"
"22633",1955,84,5.6,"Drama"
"22634",1939,81,4.5,"Drama"
"22635",1998,95,4.5,"Drama"
"22636",1954,89,6.9,"Action"
"22637",1996,13,4.3,"Action"
"22638",1944,13,9.4,"Animation"
"22639",2004,85,4.9,"Misc"
"22640",2003,90,4.1,"Misc"
"22641",1993,95,3.4,"Action"
"22642",1988,99,5.6,"Misc"
"22643",2004,132,6.7,"Action"
"22644",2003,85,3.2,"Misc"
"22645",1957,82,4.4,"Drama"
"22646",1967,90,1.6,"Drama"
"22647",1980,98,5.8,"Drama"
"22648",1983,100,6.7,"Drama"
"22649",2000,88,6,"Comedy"
"22650",1960,100,5.1,"Drama"
"22651",1968,121,6,"Action"
"22652",1949,90,6.9,"Drama"
"22653",1960,90,4.5,"Misc"
"22654",1952,87,6.5,"Misc"
"22655",1989,96,3,"Misc"
"22656",1985,90,4.6,"Action"
"22657",1997,90,1.6,"Misc"
"22658",1961,80,5.8,"Drama"
"22659",1992,92,3.4,"Misc"
"22660",1987,96,4.3,"Comedy"
"22661",1952,6,6.4,"Animation"
"22662",1969,88,5.4,"Comedy"
"22663",1943,99,6.2,"Comedy"
"22664",1990,90,6.2,"Misc"
"22665",1939,6,6.2,"Animation"
"22666",1987,97,4,"Misc"
"22667",1933,17,8,"Comedy"
"22668",1969,146,6.3,"Comedy"
"22669",2000,3,5.8,"Animation"
"22670",1933,69,4.2,"Misc"
"22671",1995,11,8.4,"Short"
"22672",1933,62,6.8,"Drama"
"22673",1970,101,3.2,"Comedy"
"22674",1987,89,6.5,"Misc"
"22675",1992,97,4.8,"Misc"
"22676",1996,86,4.2,"Misc"
"22677",1984,90,2.7,"Action"
"22678",1967,94,4.7,"Drama"
"22679",1971,90,6.8,"Drama"
"22680",1941,84,7.9,"Comedy"
"22681",1939,99,6.9,"Drama"
"22682",1968,75,5.9,"Drama"
"22683",1998,10,8.1,"Short"
"22684",1965,90,7.1,"Comedy"
"22685",1965,9,7.1,"Comedy"
"22686",1974,94,5.2,"Comedy"
"22687",1931,20,7.7,"Comedy"
"22688",1996,80,6.1,"Misc"
"22689",1932,20,8.2,"Comedy"
"22690",1987,105,6.8,"Comedy"
"22691",1998,35,6.1,"Short"
"22692",1949,84,4.9,"Comedy"
"22693",2000,83,4.1,"Misc"
"22694",1960,105,6.8,"Drama"
"22695",2001,101,6.4,"Misc"
"22696",1962,139,5.2,"Drama"
"22697",1999,10,4.1,"Short"
"22698",1997,12,2.2,"Short"
"22699",1990,105,2.7,"Misc"
"22700",1969,42,1,"Short"
"22701",1997,45,6.1,"Drama"
"22702",1914,84,8.2,"Drama"
"22703",1948,75,6.3,"Misc"
"22704",1943,15,5,"Documentary"
"22705",1977,104,5.5,"Drama"
"22706",2004,28,9.4,"Comedy"
"22707",2003,90,6.4,"Documentary"
"22708",2001,93,4.2,"Misc"
"22709",1942,4,7.3,"Animation"
"22710",1949,7,7.3,"Animation"
"22711",2002,84,8,"Documentary"
"22712",1963,92,5.4,"Misc"
"22713",1991,180,7.2,"Drama"
"22714",1975,103,5.6,"Action"
"22715",1941,7,6.7,"Animation"
"22716",1946,8,6.9,"Animation"
"22717",2003,72,8.3,"Documentary"
"22718",1983,94,6.2,"Misc"
"22719",1990,136,6.3,"Drama"
"22720",1994,87,3.5,"Misc"
"22721",1943,72,8.2,"Comedy"
"22722",1943,73,8.1,"Comedy"
"22723",1944,65,8.2,"Comedy"
"22724",1943,64,7.8,"Comedy"
"22725",1941,75,6.9,"Comedy"
"22726",1944,75,7.3,"Comedy"
"22727",1944,66,7.8,"Comedy"
"22728",1942,72,7.3,"Comedy"
"22729",1997,137,7.2,"Comedy"
"22730",1939,66,5.8,"Comedy"
"22731",1999,85,5.2,"Comedy"
"22732",1974,110,8.9,"Misc"
"22733",1989,137,7.9,"Action"
"22734",1972,125,6.6,"Drama"
"22735",2003,107,3.7,"Comedy"
"22736",1942,71,6.5,"Comedy"
"22737",2001,22,9.4,"Comedy"
"22738",1934,20,4.3,"Comedy"
"22739",1986,78,7.1,"Misc"
"22740",1998,84,4.7,"Misc"
"22741",1983,63,5.9,"Comedy"
"22742",1942,6,6.4,"Animation"
"22743",1995,89,6.2,"Action"
"22744",1989,94,5.2,"Comedy"
"22745",1942,93,4.7,"Comedy"
"22746",1911,14,6,"Comedy"
"22747",2001,95,7.7,"Misc"
"22748",1908,6,4.7,"Drama"
"22749",1933,71,5.5,"Drama"
"22750",1909,6,4.9,"Comedy"
"22751",1933,66,6,"Comedy"
"22752",1951,72,5.4,"Drama"
"22753",1945,112,6,"Comedy"
"22754",1947,84,5,"Comedy"
"22755",1937,61,5.9,"Drama"
"22756",1938,81,7.4,"Misc"
"22757",1946,78,5.3,"Drama"
"22758",2003,29,8,"Romance"
"22759",2001,105,8.1,"Misc"
"22760",1931,75,5,"Misc"
"22761",1930,85,7,"Drama"
"22762",1999,85,4.9,"Drama"
"22763",1979,80,5.6,"Misc"
"22764",1925,70,7.4,"Comedy"
"22765",2004,80,8.2,"Drama"
"22766",1954,91,5.7,"Comedy"
"22767",2000,15,5.5,"Comedy"
"22768",1930,75,7.4,"Comedy"
"22769",2001,93,4.7,"Misc"
"22770",1966,6,6.9,"Animation"
"22771",1980,100,4.4,"Comedy"
"22772",1977,100,4.9,"Action"
"22773",1974,84,5.2,"Action"
"22774",2004,18,4.7,"Short"
"22775",1989,111,7.1,"Drama"
"22776",1996,95,3.3,"Misc"
"22777",1983,98,2.6,"Misc"
"22778",1997,92,6.6,"Animation"
"22779",1993,82,6.8,"Comedy"
"22780",1970,91,2.5,"Action"
"22781",1999,18,6.3,"Short"
"22782",1998,100,7.9,"Documentary"
"22783",1970,110,5.3,"Drama"
"22784",1904,1,3.9,"Documentary"
"22785",2004,35,9.7,"Drama"
"22786",1999,72,8,"Misc"
"22787",1945,90,6.2,"Comedy"
"22788",1953,78,5.9,"Comedy"
"22789",1948,93,5.8,"Comedy"
"22790",1985,72,7.1,"Animation"
"22791",1952,66,7.3,"Comedy"
"22792",1952,75,6.9,"Comedy"
"22793",1978,87,1.9,"Comedy"
"22794",1944,99,6,"Comedy"
"22795",1936,58,5.6,"Comedy"
"22796",1935,63,5.8,"Misc"
"22797",1933,18,6.6,"Comedy"
"22798",1941,57,5.2,"Comedy"
"22799",1941,94,7.7,"Comedy"
"22800",1946,10,1.8,"Documentary"
"22801",1951,113,5.2,"Comedy"
"22802",1934,87,6.5,"Comedy"
"22803",1934,77,8.2,"Comedy"
"22804",1959,6,6.3,"Animation"
"22805",1942,77,5.8,"Comedy"
"22806",1967,96,5.6,"Comedy"
"22807",2000,93,4.8,"Drama"
"22808",2001,90,7.2,"Misc"
"22809",2000,94,5.3,"Drama"
"22810",2002,96,6.7,"Drama"
"22811",2001,90,8.3,"Drama"
"22812",1997,100,5.8,"Drama"
"22813",1932,60,5.4,"Misc"
"22814",2001,110,7.6,"Drama"
"22815",1972,145,9.5,"Drama"
"22816",1930,8,2.4,"Comedy"
"22817",1990,88,6.4,"Drama"
"22818",2001,92,5.6,"Comedy"
"22819",2005,88,8.8,"Drama"
"22820",1967,82,4.4,"Action"
"22821",1996,71,6.8,"Misc"
"22822",1961,95,8.7,"Drama"
"22823",1948,85,5.2,"Drama"
"22824",1982,92,2.6,"Misc"
"22825",1992,117,6.2,"Comedy"
"22826",2000,15,6.8,"Short"
"22827",2001,11,6.7,"Short"
"22828",1978,107,6.8,"Drama"
"22829",1973,8,6.7,"Documentary"
"22830",1988,96,4.3,"Action"
"22831",1980,98,6,"Comedy"
"22832",1904,15,3.8,"Drama"
"22833",1962,94,5.2,"Action"
"22834",1987,58,5,"Documentary"
"22835",1977,85,5.6,"Comedy"
"22836",1984,68,6.3,"Misc"
"22837",1960,76,3.5,"Action"
"22838",1989,83,2.7,"Action"
"22839",1939,10,6.8,"Documentary"
"22840",1933,71,7.1,"Drama"
"22841",1965,131,6,"Drama"
"22842",1919,122,6.8,"Drama"
"22843",1954,88,5.4,"Drama"
"22844",1987,12,8.8,"Animation"
"22845",1948,104,3.5,"Misc"
"22846",2003,105,7.3,"Comedy"
"22847",1945,7,7.3,"Animation"
"22848",1992,93,6,"Comedy"
"22849",1955,97,6.7,"Comedy"
"22850",1999,126,7.4,"Documentary"
"22851",1940,80,5.4,"Comedy"
"22852",1960,88,7,"Misc"
"22853",1957,90,5,"Comedy"
"22854",1942,95,7.8,"Misc"
"22855",1959,83,5.3,"Drama"
"22856",1964,92,9.2,"Misc"
"22857",1960,98,4.5,"Misc"
"22858",1932,87,6.4,"Misc"
"22859",1967,105,4.8,"Comedy"
"22860",1959,86,3.8,"Drama"
"22861",1957,104,5.5,"Drama"
"22862",1943,94,4.9,"Drama"
"22863",2000,45,6.2,"Animation"
"22864",1988,115,6.4,"Drama"
"22865",1999,109,7.7,"Comedy"
"22866",2001,100,7.7,"Drama"
"22867",1958,95,8.5,"Misc"
"22868",1957,95,5,"Drama"
"22869",1964,60,7.4,"Drama"
"22870",2000,102,7.5,"Drama"
"22871",1992,95,5.7,"Drama"
"22872",2002,6,6.7,"Animation"
"22873",1909,10,5.2,"Drama"
"22874",1975,90,6.4,"Drama"
"22875",2002,25,6.1,"Short"
"22876",1944,101,7.7,"Drama"
"22877",2001,104,6.4,"Action"
"22878",2001,108,6.6,"Misc"
"22879",1998,90,4,"Drama"
"22880",1962,15,7.9,"Comedy"
"22881",1970,90,6.5,"Comedy"
"22882",1956,91,4.9,"Comedy"
"22883",1972,90,5.2,"Misc"
"22884",1973,92,3.1,"Drama"
"22885",1994,90,6.8,"Misc"
"22886",1993,90,4.4,"Comedy"
"22887",1964,95,6.9,"Misc"
"22888",2002,76,4.8,"Animation"
"22889",1996,14,8.3,"Animation"
"22890",1980,101,4.4,"Misc"
"22891",1986,112,8.2,"Drama"
"22892",1959,83,5.2,"Misc"
"22893",1982,76,5.3,"Animation"
"22894",2000,186,8.2,"Drama"
"22895",1964,89,5.4,"Animation"
"22896",1938,88,5.5,"Comedy"
"22897",2003,64,6.8,"Documentary"
"22898",2001,75,3.7,"Misc"
"22899",1961,80,2.9,"Misc"
"22900",1937,11,6.4,"Short"
"22901",1943,72,7.1,"Comedy"
"22902",1941,100,6.1,"Comedy"
"22903",1978,137,7.4,"Action"
"22904",1980,95,4.3,"Animation"
"22905",1935,59,4.3,"Comedy"
"22906",1999,6,4.1,"Short"
"22907",1970,87,5.9,"Comedy"
"22908",1934,75,6.6,"Comedy"
"22909",1947,64,6.2,"Misc"
"22910",1963,69,5.4,"Misc"
"22911",1998,82,5.7,"Comedy"
"22912",1999,95,5.9,"Drama"
"22913",1998,114,6,"Drama"
"22914",1978,90,6.5,"Action"
"22915",1940,69,4.1,"Misc"
"22916",1952,80,5.3,"Drama"
"22917",1941,8,7,"Animation"
"22918",1969,82,6.2,"Comedy"
"22919",1969,98,9,"Action"
"22920",1954,6,6.3,"Animation"
"22921",1998,10,7.4,"Comedy"
"22922",1946,7,7,"Animation"
"22923",1999,60,4.2,"Comedy"
"22924",1948,7,5.8,"Animation"
"22925",1972,107,6,"Misc"
"22926",2004,136,6.6,"Action"
"22927",1973,93,4.6,"Comedy"
"22928",1990,108,6.6,"Drama"
"22929",1998,95,4.9,"Action"
"22930",2001,98,4.2,"Action"
"22931",1995,89,4.4,"Action"
"22932",1999,77,3.8,"Misc"
"22933",1997,45,3.7,"Documentary"
"22934",1945,69,6.2,"Misc"
"22935",1957,80,5.3,"Drama"
"22936",1993,90,4.4,"Misc"
"22937",2004,90,8.2,"Documentary"
"22938",1940,60,7.6,"Misc"
"22939",1956,90,5.4,"Misc"
"22940",1942,63,7,"Misc"
"22941",1993,34,6.5,"Documentary"
"22942",1994,91,3.1,"Misc"
"22943",2000,93,2,"Misc"
"22944",1932,57,5.2,"Misc"
"22945",2001,64,7.8,"Documentary"
"22946",1987,96,6.8,"Action"
"22947",1997,3,2.9,"Short"
"22948",2004,85,3.7,"Comedy"
"22949",1988,90,3.7,"Misc"
"22950",1963,90,7,"Action"
"22951",2005,101,5.2,"Drama"
"22952",1938,10,7.1,"Comedy"
"22953",1980,92,6.5,"Drama"
"22954",1934,81,6.5,"Comedy"
"22955",1995,106,5,"Misc"
"22956",1966,96,6.6,"Drama"
"22957",1941,54,4.4,"Drama"
"22958",1998,98,6.1,"Drama"
"22959",1959,74,3.6,"Misc"
"22960",1997,82,3.3,"Comedy"
"22961",1987,98,5.6,"Comedy"
"22962",1975,150,6.5,"Misc"
"22963",2003,93,5.9,"Drama"
"22964",1958,118,7.8,"Comedy"
"22965",1967,80,3.1,"Drama"
"22966",2001,90,3.4,"Action"
"22967",1977,94,6.4,"Comedy"
"22968",1998,87,6.8,"Drama"
"22969",1947,91,5.9,"Action"
"22970",1994,82,5.7,"Drama"
"22971",1964,114,5.5,"Misc"
"22972",1936,84,6.4,"Drama"
"22973",1958,87,5.8,"Comedy"
"22974",1981,98,4,"Misc"
"22975",2002,115,6.1,"Drama"
"22976",1994,100,3.3,"Comedy"
"22977",1949,7,7.3,"Animation"
"22978",1988,85,6.6,"Documentary"
"22979",2000,113,7.6,"Comedy"
"22980",1989,100,2.6,"Romance"
"22981",1956,89,4.7,"Drama"
"22982",1937,70,7.8,"Comedy"
"22983",1998,90,1.8,"Comedy"
"22984",2001,86,6.1,"Action"
"22985",1958,87,4.5,"Misc"
"22986",1988,112,7.3,"Comedy"
"22987",1950,81,6,"Misc"
"22988",1994,95,6,"Documentary"
"22989",1952,85,8.3,"Misc"
"22990",1960,6,8.6,"Animation"
"22991",1973,105,7.4,"Drama"
"22992",1932,72,6.4,"Comedy"
"22993",1973,66,7.5,"Misc"
"22994",1981,90,5.3,"Action"
"22995",1996,80,7.4,"Comedy"
"22996",1983,105,5.5,"Romance"
"22997",1977,89,5.3,"Misc"
"22998",1940,74,8.8,"Drama"
"22999",1968,75,7.3,"Documentary"
"23000",1959,70,1.7,"Drama"
"23001",1960,75,3.8,"Drama"
"23002",1958,85,5.4,"Drama"
"23003",2000,74,3.3,"Misc"
"23004",1958,69,5.4,"Drama"
"23005",1996,86,4.9,"Comedy"
"23006",1980,94,5.3,"Misc"
"23007",2005,89,5,"Comedy"
"23008",1978,95,4.7,"Action"
"23009",1987,90,5.2,"Comedy"
"23010",1941,100,7.5,"Drama"
"23011",1955,61,6.5,"Comedy"
"23012",1956,111,6.9,"Comedy"
"23013",1988,99,4.8,"Comedy"
"23014",1931,72,4.4,"Misc"
"23015",1986,82,4.9,"Comedy"
"23016",1989,102,3.9,"Misc"
"23017",1962,7,2.7,"Animation"
"23018",2002,10,7.6,"Comedy"
"23019",1991,93,6.2,"Comedy"
"23020",1987,101,7.4,"Drama"
"23021",1957,109,5.4,"Drama"
"23022",1960,103,5.1,"Comedy"
"23023",2002,90,3.5,"Comedy"
"23024",1995,86,6.5,"Misc"
"23025",1951,90,5.7,"Drama"
"23026",1976,105,4.4,"Action"
"23027",1929,63,5.5,"Drama"
"23028",1997,95,4.5,"Action"
"23029",1947,99,7.2,"Misc"
"23030",1965,106,6.5,"Misc"
"23031",1965,83,2.5,"Drama"
"23032",1920,26,7.4,"Comedy"
"23033",1956,7,6.4,"Animation"
"23034",1954,147,7.1,"Drama"
"23035",1937,110,7,"Misc"
"23036",1978,97,4.5,"Action"
"23037",2001,83,7.3,"Comedy"
"23038",1995,127,6.2,"Drama"
"23039",1943,18,6.9,"Comedy"
"23040",1944,90,5.4,"Comedy"
"23041",2003,3,7.3,"Comedy"
"23042",1982,143,5.7,"Drama"
"23043",1986,116,7.1,"Action"
"23044",1991,92,3.4,"Action"
"23045",1994,102,3.7,"Action"
"23046",1911,18,3.3,"Romance"
"23047",2000,101,4.4,"Action"
"23048",1950,90,6.5,"Action"
"23049",1999,57,6.6,"Documentary"
"23050",1950,83,6.1,"Drama"
"23051",2000,89,4.6,"Action"
"23052",1991,102,7,"Comedy"
"23053",1954,72,5.2,"Misc"
"23054",1965,7,4.7,"Animation"
"23055",2000,90,5.5,"Comedy"
"23056",1994,86,4.8,"Comedy"
"23057",1990,90,5.7,"Action"
"23058",1992,94,5.3,"Comedy"
"23059",1951,82,6.4,"Misc"
"23060",2000,94,3.5,"Comedy"
"23061",2003,80,5.6,"Action"
"23062",1942,65,7.1,"Comedy"
"23063",1991,120,7.1,"Drama"
"23064",1994,101,5.5,"Drama"
"23065",2003,110,6.5,"Comedy"
"23066",1999,94,3.5,"Misc"
"23067",2000,90,6.7,"Misc"
"23068",2004,68,8.4,"Documentary"
"23069",1997,91,5.1,"Comedy"
"23070",1972,95,6,"Comedy"
"23071",2001,123,7.7,"Comedy"
"23072",2003,90,1.6,"Comedy"
"23073",1972,134,6.7,"Drama"
"23074",1933,100,7.2,"Drama"
"23075",2001,130,7.4,"Drama"
"23076",1992,118,7,"Misc"
"23077",1995,112,7.3,"Drama"
"23078",2004,75,7,"Misc"
"23079",1998,121,7.4,"Drama"
"23080",1956,87,5.1,"Drama"
"23081",1997,20,6.9,"Short"
"23082",1917,80,8.3,"Misc"
"23083",2001,85,4.3,"Misc"
"23084",1971,80,2.6,"Comedy"
"23085",2002,95,6.7,"Misc"
"23086",1969,84,2.7,"Comedy"
"23087",1970,82,3.2,"Comedy"
"23088",1989,18,7.3,"Animation"
"23089",1956,80,7,"Misc"
"23090",1965,123,7.6,"Drama"
"23091",1956,6,6.6,"Animation"
"23092",1995,6,2,"Comedy"
"23093",1950,7,7.8,"Animation"
"23094",1997,85,3.8,"Misc"
"23095",2001,23,6.8,"Short"
"23096",1967,88,2.3,"Comedy"
"23097",1985,86,3.2,"Misc"
"23098",1977,86,6,"Misc"
"23099",1948,97,6.4,"Drama"
"23100",1950,67,5.2,"Misc"
"23101",1937,78,7.6,"Misc"
"23102",1951,70,5.6,"Misc"
"23103",2004,91,3.1,"Comedy"
"23104",1982,124,9.9,"Drama"
"23105",1999,108,7.2,"Drama"
"23106",1985,120,6.6,"Drama"
"23107",1974,100,6,"Drama"
"23108",1997,85,7.4,"Comedy"
"23109",1942,106,8.2,"Drama"
"23110",1935,90,7.4,"Comedy"
"23111",2000,98,7.3,"Drama"
"23112",1988,121,4.8,"Drama"
"23113",1969,94,5,"Drama"
"23114",1955,105,6.7,"Drama"
"23115",1979,90,2.2,"Misc"
"23116",2002,83,7,"Comedy"
"23117",2001,182,8.9,"Documentary"
"23118",1987,84,7.6,"Drama"
"23119",1951,102,8.2,"Comedy"
"23120",1975,125,5.8,"Drama"
"23121",1931,70,5.5,"Drama"
"23122",1952,82,5,"Drama"
"23123",1996,92,3.5,"Drama"
"23124",2004,5,7.2,"Comedy"
"23125",1999,146,4.1,"Misc"
"23126",1931,3,6.3,"Comedy"
"23127",1999,90,4.7,"Drama"
"23128",1959,103,7.4,"Comedy"
"23129",1998,90,7.1,"Comedy"
"23130",2004,90,5.7,"Drama"
"23131",1958,6,6.3,"Animation"
"23132",2004,26,8.5,"Documentary"
"23133",1987,110,5.8,"Drama"
"23134",2002,86,8.4,"Misc"
"23135",2001,98,5.7,"Comedy"
"23136",2004,93,5.2,"Misc"
"23137",1963,90,4.9,"Drama"
"23138",1980,126,7.5,"Comedy"
"23139",1949,7,6.6,"Animation"
"23140",2004,4,9.3,"Comedy"
"23141",1934,15,7.6,"Short"
"23142",1968,68,1,"Misc"
"23143",1991,97,1,"Misc"
"23144",1934,68,7.1,"Comedy"
"23145",2001,9,7.2,"Action"
"23146",2002,11,7.1,"Action"
"23147",2001,11,7,"Action"
"23148",2002,11,7.2,"Action"
"23149",2001,14,7.6,"Action"
"23150",2001,10,7.5,"Action"
